"ID","Category","Priority","Device / Browser","Test case","Preconditions","Steps","Expected result","Execution status"
"RF-MAN-096","Section movement — Customizer","Medium","Android Chrome","Move Leadership right from Content customizer","A two-column resume is open; Leadership is enabled and contains a unique heading and detail marker.","Open Content. Locate Leadership. Select Move right. Inspect the page, then edit its first detail.","The complete Leadership container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-097","Section movement — Customizer","Critical","iPhone Safari","Move Community Service up from Content customizer","A two-column resume is open; Community Service is enabled and contains a unique heading and detail marker.","Open Content. Locate Community Service. Select Move up. Inspect the page, then edit its first detail.","The complete Community Service container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-098","Section movement — Customizer","High","iPad Safari","Move Community Service down from Content customizer","A two-column resume is open; Community Service is enabled and contains a unique heading and detail marker.","Open Content. Locate Community Service. Select Move down. Inspect the page, then edit its first detail.","The complete Community Service container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-099","Section movement — Customizer","Medium","Linux Chrome","Move Community Service left from Content customizer","A two-column resume is open; Community Service is enabled and contains a unique heading and detail marker.","Open Content. Locate Community Service. Select Move left. Inspect the page, then edit its first detail.","The complete Community Service container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-100","Section movement — Customizer","Critical","Tablet Edge","Move Community Service right from Content customizer","A two-column resume is open; Community Service is enabled and contains a unique heading and detail marker.","Open Content. Locate Community Service. Select Move right. Inspect the page, then edit its first detail.","The complete Community Service container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-101","Section movement — Resume page","Critical","Windows Chrome","Move Summary using up arrow","Summary is visible with unique multi-line content; page section controls are available.","Hover or tap Summary. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Summary moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-102","Section movement — Resume page","High","Windows Edge","Move Summary using down arrow","Summary is visible with unique multi-line content; page section controls are available.","Hover or tap Summary. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Summary moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-103","Section movement — Resume page","Medium","Windows Firefox","Move Summary using left arrow","Summary is visible with unique multi-line content; page section controls are available.","Hover or tap Summary. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Summary moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-104","Section movement — Resume page","Critical","macOS Safari","Move Summary using right arrow","Summary is visible with unique multi-line content; page section controls are available.","Hover or tap Summary. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Summary moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-105","Section movement — Resume page","High","macOS Chrome","Move Summary using drag handle to a precise target","Summary is visible with unique multi-line content; page section controls are available.","Hover or tap Summary. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Summary moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-106","Section movement — Resume page","Medium","Android Chrome","Move Objective using up arrow","Objective is visible with unique multi-line content; page section controls are available.","Hover or tap Objective. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Objective moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-107","Section movement — Resume page","Critical","iPhone Safari","Move Objective using down arrow","Objective is visible with unique multi-line content; page section controls are available.","Hover or tap Objective. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Objective moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-108","Section movement — Resume page","High","iPad Safari","Move Objective using left arrow","Objective is visible with unique multi-line content; page section controls are available.","Hover or tap Objective. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Objective moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-109","Section movement — Resume page","Medium","Linux Chrome","Move Objective using right arrow","Objective is visible with unique multi-line content; page section controls are available.","Hover or tap Objective. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Objective moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-110","Section movement — Resume page","Critical","Tablet Edge","Move Objective using drag handle to a precise target","Objective is visible with unique multi-line content; page section controls are available.","Hover or tap Objective. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Objective moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-111","Section movement — Resume page","High","Windows Chrome","Move Experience using up arrow","Experience is visible with unique multi-line content; page section controls are available.","Hover or tap Experience. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Experience moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-112","Section movement — Resume page","Medium","Windows Edge","Move Experience using down arrow","Experience is visible with unique multi-line content; page section controls are available.","Hover or tap Experience. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Experience moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-113","Section movement — Resume page","Critical","Windows Firefox","Move Experience using left arrow","Experience is visible with unique multi-line content; page section controls are available.","Hover or tap Experience. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Experience moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-114","Section movement — Resume page","High","macOS Safari","Move Experience using right arrow","Experience is visible with unique multi-line content; page section controls are available.","Hover or tap Experience. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Experience moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-115","Section movement — Resume page","Medium","macOS Chrome","Move Experience using drag handle to a precise target","Experience is visible with unique multi-line content; page section controls are available.","Hover or tap Experience. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Experience moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-116","Section movement — Resume page","Critical","Android Chrome","Move Education using up arrow","Education is visible with unique multi-line content; page section controls are available.","Hover or tap Education. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Education moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-117","Section movement — Resume page","High","iPhone Safari","Move Education using down arrow","Education is visible with unique multi-line content; page section controls are available.","Hover or tap Education. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Education moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-118","Section movement — Resume page","Medium","iPad Safari","Move Education using left arrow","Education is visible with unique multi-line content; page section controls are available.","Hover or tap Education. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Education moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-119","Section movement — Resume page","Critical","Linux Chrome","Move Education using right arrow","Education is visible with unique multi-line content; page section controls are available.","Hover or tap Education. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Education moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-120","Section movement — Resume page","High","Tablet Edge","Move Education using drag handle to a precise target","Education is visible with unique multi-line content; page section controls are available.","Hover or tap Education. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Education moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-121","Section movement — Resume page","Medium","Windows Chrome","Move Certifications using up arrow","Certifications is visible with unique multi-line content; page section controls are available.","Hover or tap Certifications. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Certifications moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-122","Section movement — Resume page","Critical","Windows Edge","Move Certifications using down arrow","Certifications is visible with unique multi-line content; page section controls are available.","Hover or tap Certifications. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Certifications moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-123","Section movement — Resume page","High","Windows Firefox","Move Certifications using left arrow","Certifications is visible with unique multi-line content; page section controls are available.","Hover or tap Certifications. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Certifications moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-124","Section movement — Resume page","Medium","macOS Safari","Move Certifications using right arrow","Certifications is visible with unique multi-line content; page section controls are available.","Hover or tap Certifications. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Certifications moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-125","Section movement — Resume page","Critical","macOS Chrome","Move Certifications using drag handle to a precise target","Certifications is visible with unique multi-line content; page section controls are available.","Hover or tap Certifications. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Certifications moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-126","Section movement — Resume page","High","Android Chrome","Move Projects using up arrow","Projects is visible with unique multi-line content; page section controls are available.","Hover or tap Projects. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Projects moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-127","Section movement — Resume page","Medium","iPhone Safari","Move Projects using down arrow","Projects is visible with unique multi-line content; page section controls are available.","Hover or tap Projects. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Projects moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-128","Section movement — Resume page","Critical","iPad Safari","Move Projects using left arrow","Projects is visible with unique multi-line content; page section controls are available.","Hover or tap Projects. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Projects moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-129","Section movement — Resume page","High","Linux Chrome","Move Projects using right arrow","Projects is visible with unique multi-line content; page section controls are available.","Hover or tap Projects. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Projects moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-130","Section movement — Resume page","Medium","Tablet Edge","Move Projects using drag handle to a precise target","Projects is visible with unique multi-line content; page section controls are available.","Hover or tap Projects. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Projects moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-131","Section movement — Resume page","Critical","Windows Chrome","Move Skills using up arrow","Skills is visible with unique multi-line content; page section controls are available.","Hover or tap Skills. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Skills moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-132","Section movement — Resume page","High","Windows Edge","Move Skills using down arrow","Skills is visible with unique multi-line content; page section controls are available.","Hover or tap Skills. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Skills moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-133","Section movement — Resume page","Medium","Windows Firefox","Move Skills using left arrow","Skills is visible with unique multi-line content; page section controls are available.","Hover or tap Skills. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Skills moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-134","Section movement — Resume page","Critical","macOS Safari","Move Skills using right arrow","Skills is visible with unique multi-line content; page section controls are available.","Hover or tap Skills. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Skills moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-135","Section movement — Resume page","High","macOS Chrome","Move Skills using drag handle to a precise target","Skills is visible with unique multi-line content; page section controls are available.","Hover or tap Skills. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Skills moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-136","Section movement — Resume page","Medium","Android Chrome","Move Awards using up arrow","Awards is visible with unique multi-line content; page section controls are available.","Hover or tap Awards. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Awards moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-137","Section movement — Resume page","Critical","iPhone Safari","Move Awards using down arrow","Awards is visible with unique multi-line content; page section controls are available.","Hover or tap Awards. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Awards moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-138","Section movement — Resume page","High","iPad Safari","Move Awards using left arrow","Awards is visible with unique multi-line content; page section controls are available.","Hover or tap Awards. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Awards moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-139","Section movement — Resume page","Medium","Linux Chrome","Move Awards using right arrow","Awards is visible with unique multi-line content; page section controls are available.","Hover or tap Awards. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Awards moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-140","Section movement — Resume page","Critical","Tablet Edge","Move Awards using drag handle to a precise target","Awards is visible with unique multi-line content; page section controls are available.","Hover or tap Awards. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Awards moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-141","Section movement — Resume page","High","Windows Chrome","Move Technical Skills using up arrow","Technical Skills is visible with unique multi-line content; page section controls are available.","Hover or tap Technical Skills. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Technical Skills moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-142","Section movement — Resume page","Medium","Windows Edge","Move Technical Skills using down arrow","Technical Skills is visible with unique multi-line content; page section controls are available.","Hover or tap Technical Skills. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Technical Skills moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-143","Section movement — Resume page","Critical","Windows Firefox","Move Technical Skills using left arrow","Technical Skills is visible with unique multi-line content; page section controls are available.","Hover or tap Technical Skills. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Technical Skills moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-144","Section movement — Resume page","High","macOS Safari","Move Technical Skills using right arrow","Technical Skills is visible with unique multi-line content; page section controls are available.","Hover or tap Technical Skills. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Technical Skills moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-145","Section movement — Resume page","Medium","macOS Chrome","Move Technical Skills using drag handle to a precise target","Technical Skills is visible with unique multi-line content; page section controls are available.","Hover or tap Technical Skills. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Technical Skills moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-146","Section movement — Resume page","Critical","Android Chrome","Move Languages using up arrow","Languages is visible with unique multi-line content; page section controls are available.","Hover or tap Languages. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Languages moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-147","Section movement — Resume page","High","iPhone Safari","Move Languages using down arrow","Languages is visible with unique multi-line content; page section controls are available.","Hover or tap Languages. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Languages moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-148","Section movement — Resume page","Medium","iPad Safari","Move Languages using left arrow","Languages is visible with unique multi-line content; page section controls are available.","Hover or tap Languages. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Languages moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-149","Section movement — Resume page","Critical","Linux Chrome","Move Languages using right arrow","Languages is visible with unique multi-line content; page section controls are available.","Hover or tap Languages. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Languages moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-150","Section movement — Resume page","High","Tablet Edge","Move Languages using drag handle to a precise target","Languages is visible with unique multi-line content; page section controls are available.","Hover or tap Languages. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Languages moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-151","Section movement — Resume page","Medium","Windows Chrome","Move Personal Details using up arrow","Personal Details is visible with unique multi-line content; page section controls are available.","Hover or tap Personal Details. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Personal Details moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-152","Section movement — Resume page","Critical","Windows Edge","Move Personal Details using down arrow","Personal Details is visible with unique multi-line content; page section controls are available.","Hover or tap Personal Details. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Personal Details moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-153","Section movement — Resume page","High","Windows Firefox","Move Personal Details using left arrow","Personal Details is visible with unique multi-line content; page section controls are available.","Hover or tap Personal Details. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Personal Details moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-154","Section movement — Resume page","Medium","macOS Safari","Move Personal Details using right arrow","Personal Details is visible with unique multi-line content; page section controls are available.","Hover or tap Personal Details. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Personal Details moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-155","Section movement — Resume page","Critical","macOS Chrome","Move Personal Details using drag handle to a precise target","Personal Details is visible with unique multi-line content; page section controls are available.","Hover or tap Personal Details. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Personal Details moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-156","Section movement — Resume page","High","Android Chrome","Move Volunteer Experience using up arrow","Volunteer Experience is visible with unique multi-line content; page section controls are available.","Hover or tap Volunteer Experience. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Volunteer Experience moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-157","Section movement — Resume page","Medium","iPhone Safari","Move Volunteer Experience using down arrow","Volunteer Experience is visible with unique multi-line content; page section controls are available.","Hover or tap Volunteer Experience. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Volunteer Experience moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-158","Section movement — Resume page","Critical","iPad Safari","Move Volunteer Experience using left arrow","Volunteer Experience is visible with unique multi-line content; page section controls are available.","Hover or tap Volunteer Experience. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Volunteer Experience moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-159","Section movement — Resume page","High","Linux Chrome","Move Volunteer Experience using right arrow","Volunteer Experience is visible with unique multi-line content; page section controls are available.","Hover or tap Volunteer Experience. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Volunteer Experience moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-160","Section movement — Resume page","Medium","Tablet Edge","Move Volunteer Experience using drag handle to a precise target","Volunteer Experience is visible with unique multi-line content; page section controls are available.","Hover or tap Volunteer Experience. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Volunteer Experience moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-161","Section movement — Resume page","Critical","Windows Chrome","Move Publications using up arrow","Publications is visible with unique multi-line content; page section controls are available.","Hover or tap Publications. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Publications moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-162","Section movement — Resume page","High","Windows Edge","Move Publications using down arrow","Publications is visible with unique multi-line content; page section controls are available.","Hover or tap Publications. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Publications moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-163","Section movement — Resume page","Medium","Windows Firefox","Move Publications using left arrow","Publications is visible with unique multi-line content; page section controls are available.","Hover or tap Publications. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Publications moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-164","Section movement — Resume page","Critical","macOS Safari","Move Publications using right arrow","Publications is visible with unique multi-line content; page section controls are available.","Hover or tap Publications. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Publications moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-165","Section movement — Resume page","High","macOS Chrome","Move Publications using drag handle to a precise target","Publications is visible with unique multi-line content; page section controls are available.","Hover or tap Publications. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Publications moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-166","Section movement — Resume page","Medium","Android Chrome","Move Patents using up arrow","Patents is visible with unique multi-line content; page section controls are available.","Hover or tap Patents. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Patents moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-167","Section movement — Resume page","Critical","iPhone Safari","Move Patents using down arrow","Patents is visible with unique multi-line content; page section controls are available.","Hover or tap Patents. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Patents moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-168","Section movement — Resume page","High","iPad Safari","Move Patents using left arrow","Patents is visible with unique multi-line content; page section controls are available.","Hover or tap Patents. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Patents moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-169","Section movement — Resume page","Medium","Linux Chrome","Move Patents using right arrow","Patents is visible with unique multi-line content; page section controls are available.","Hover or tap Patents. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Patents moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-170","Section movement — Resume page","Critical","Tablet Edge","Move Patents using drag handle to a precise target","Patents is visible with unique multi-line content; page section controls are available.","Hover or tap Patents. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Patents moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-171","Section movement — Resume page","High","Windows Chrome","Move References using up arrow","References is visible with unique multi-line content; page section controls are available.","Hover or tap References. Use its up arrow. For drag, drop before a section in the opposite column.","The whole References moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-172","Section movement — Resume page","Medium","Windows Edge","Move References using down arrow","References is visible with unique multi-line content; page section controls are available.","Hover or tap References. Use its down arrow. For drag, drop before a section in the opposite column.","The whole References moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-173","Section movement — Resume page","Critical","Windows Firefox","Move References using left arrow","References is visible with unique multi-line content; page section controls are available.","Hover or tap References. Use its left arrow. For drag, drop before a section in the opposite column.","The whole References moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-174","Section movement — Resume page","High","macOS Safari","Move References using right arrow","References is visible with unique multi-line content; page section controls are available.","Hover or tap References. Use its right arrow. For drag, drop before a section in the opposite column.","The whole References moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-175","Section movement — Resume page","Medium","macOS Chrome","Move References using drag handle to a precise target","References is visible with unique multi-line content; page section controls are available.","Hover or tap References. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole References moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-176","Section movement — Resume page","Critical","Android Chrome","Move Courses using up arrow","Courses is visible with unique multi-line content; page section controls are available.","Hover or tap Courses. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Courses moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-177","Section movement — Resume page","High","iPhone Safari","Move Courses using down arrow","Courses is visible with unique multi-line content; page section controls are available.","Hover or tap Courses. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Courses moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-178","Section movement — Resume page","Medium","iPad Safari","Move Courses using left arrow","Courses is visible with unique multi-line content; page section controls are available.","Hover or tap Courses. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Courses moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-179","Section movement — Resume page","Critical","Linux Chrome","Move Courses using right arrow","Courses is visible with unique multi-line content; page section controls are available.","Hover or tap Courses. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Courses moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-180","Section movement — Resume page","High","Tablet Edge","Move Courses using drag handle to a precise target","Courses is visible with unique multi-line content; page section controls are available.","Hover or tap Courses. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Courses moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-181","Section movement — Resume page","Medium","Windows Chrome","Move Professional Memberships using up arrow","Professional Memberships is visible with unique multi-line content; page section controls are available.","Hover or tap Professional Memberships. Use its up arrow. For drag, drop before a section in the opposite column.","The whole Professional Memberships moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-182","Section movement — Resume page","Critical","Windows Edge","Move Professional Memberships using down arrow","Professional Memberships is visible with unique multi-line content; page section controls are available.","Hover or tap Professional Memberships. Use its down arrow. For drag, drop before a section in the opposite column.","The whole Professional Memberships moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-183","Section movement — Resume page","High","Windows Firefox","Move Professional Memberships using left arrow","Professional Memberships is visible with unique multi-line content; page section controls are available.","Hover or tap Professional Memberships. Use its left arrow. For drag, drop before a section in the opposite column.","The whole Professional Memberships moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-184","Section movement — Resume page","Medium","macOS Safari","Move Professional Memberships using right arrow","Professional Memberships is visible with unique multi-line content; page section controls are available.","Hover or tap Professional Memberships. Use its right arrow. For drag, drop before a section in the opposite column.","The whole Professional Memberships moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
"RF-MAN-185","Section movement — Resume page","Critical","macOS Chrome","Move Professional Memberships using drag handle to a precise target","Professional Memberships is visible with unique multi-line content; page section controls are available.","Hover or tap Professional Memberships. Use its drag handle to a precise target. For drag, drop before a section in the opposite column.","The whole Professional Memberships moves to the requested position; no text, list item, link, date, or formatting is lost or duplicated.","Ready for independent manual execution"
